pres[hPa],height[m],temp[degC],dewpoint[degC],rh[%],mr[g/kg],direction[deg],speed[kt],theta[K],thetaE[K],thetaV[K]
1007.0,101,11.0,7.7,80,6.59,290,4,283.6,302.0,284.7
1000.0,146,11.2,7.6,78,6.59,305,9,284.4,302.9,285.5
981.1,305,10.5,6.2,75,6.09,330,22,285.2,302.4,286.2
963.0,461,9.8,4.8,71,5.63,335,21,286.0,302.1,287.0
949.0,582,8.6,4.1,73,5.44,339,21,286.0,301.5,286.9
945.8,610,8.4,4.6,77,5.65,340,21,286.0,302.1,287.0
938.0,679,7.8,5.8,87,6.20,340,21,286.1,303.7,287.2
925.0,794,6.8,4.6,86,5.78,340,20,286.3,302.7,287.3
911.5,914,5.9,3.4,84,5.38,335,19,286.6,301.9,287.5
883.0,1174,4.0,0.7,79,4.58,318,23,287.2,300.4,288.0
878.1,1219,4.7,0.8,76,4.63,315,24,288.3,301.8,289.1
877.0,1229,4.8,0.8,75,4.65,315,24,288.6,302.1,289.4
873.0,1267,6.8,-0.2,61,4.34,313,25,291.0,303.8,291.8
868.0,1314,9.0,-5.0,37,3.05,311,27,293.8,303.1,294.3
866.0,1333,9.8,-5.2,34,3.01,311,27,294.8,304.0,295.4
851.0,1478,10.4,-11.6,20,1.86,305,32,296.9,302.8,297.3
850.0,1488,10.4,-9.6,23,2.18,305,32,297.0,303.9,297.4
846.3,1524,10.5,-9.5,24,2.21,305,32,297.5,304.4,297.9
841.0,1577,10.6,-9.4,24,2.24,304,32,298.1,305.2,298.6
815.7,1829,9.2,-9.9,25,2.22,300,33,299.2,306.3,299.6
786.1,2134,7.5,-10.5,27,2.20,290,33,300.6,307.6,301.0
762.0,2391,6.0,-11.0,28,2.18,286,32,301.7,308.7,302.1
757.6,2438,6.0,-12.1,26,2.01,285,32,302.2,308.7,302.6
738.0,2652,6.2,-16.8,17,1.40,267,36,304.7,309.3,304.9
729.9,2743,8.0,-18.2,14,1.25,260,37,307.6,311.8,307.8
728.0,2765,8.4,-18.6,13,1.22,259,37,308.3,312.4,308.5
723.0,2821,8.8,-18.2,13,1.27,256,38,309.3,313.6,309.6
703.4,3048,7.8,-19.2,13,1.20,245,39,310.6,314.8,310.9
700.0,3088,7.6,-19.4,13,1.18,250,35,310.9,314.9,311.1
696.0,3135,7.4,-19.6,13,1.17,254,36,311.2,315.2,311.4
677.7,3353,5.7,-21.3,12,1.04,275,43,311.7,315.3,311.9
672.0,3422,5.2,-21.8,12,1.00,273,44,311.8,315.3,312.0
652.7,3658,4.3,-21.7,13,1.04,265,46,313.4,317.1,313.6
634.0,3894,3.4,-21.6,14,1.08,261,50,315.0,318.8,315.2
628.6,3962,2.8,-21.8,14,1.07,260,51,315.1,318.9,315.3
604.9,4267,0.2,-22.8,16,1.01,260,55,315.5,319.1,315.7
560.0,4877,-5.1,-24.9,20,0.92,250,58,316.3,319.6,316.5
538.9,5182,-7.8,-25.9,22,0.87,250,67,316.6,319.7,316.8
538.0,5195,-7.9,-25.9,22,0.87,250,67,316.6,319.8,316.8
526.0,5370,-8.3,-26.3,22,0.85,253,66,318.2,321.3,318.4
500.0,5760,-11.3,-29.3,21,0.68,260,65,319.2,321.7,319.3
478.5,6096,-14.1,-30.7,23,0.62,255,65,319.7,322.0,319.9
470.0,6233,-15.3,-31.3,24,0.60,256,66,319.9,322.1,320.1
451.0,6545,-17.3,-31.3,29,0.62,257,67,321.2,323.5,321.3
414.0,7185,-20.1,-37.1,20,0.38,259,71,325.6,327.1,325.6
400.0,7440,-22.1,-39.1,20,0.32,260,72,326.2,327.4,326.2
390.0,7620,-23.6,-40.2,20,0.30,260,71,326.6,327.8,326.7
318.0,9078,-35.3,-49.3,23,0.13,260,73,330.0,330.5,330.0
315.0,9144,-35.8,-49.8,22,0.13,260,73,330.2,330.8,330.2
300.0,9480,-38.1,-52.1,22,0.10,265,72,331.6,332.0,331.6
251.0,10684,-47.5,-60.5,21,0.04,260,80,334.9,335.1,334.9
250.0,10710,-47.7,-60.7,21,0.04,260,80,335.0,335.2,335.0
234.0,11145,-50.3,-62.3,23,0.04,261,81,337.5,337.6,337.5
208.0,11902,-57.1,-67.1,27,0.02,264,82,338.4,338.5,338.4
200.0,12150,-58.5,-68.5,26,0.02,265,82,340.0,340.1,340.0
190.0,12472,-60.5,-70.5,26,0.01,265,85,341.8,341.8,341.8
176.0,12948,-63.1,-72.1,29,0.01,265,89,345.1,345.1,345.1
173.0,13054,-63.3,-72.3,29,0.01,265,90,346.4,346.5,346.4
171.5,13106,-62.7,-71.7,29,0.01,265,90,348.2,348.3,348.2
171.0,13126,-62.5,-71.5,29,0.01,265,89,348.9,349.0,348.9
158.0,13612,-64.9,-73.9,28,0.01,262,75,352.8,352.9,352.8
150.0,13930,-65.5,-74.5,28,0.01,260,66,357.1,357.1,357.1
147.8,14021,-65.8,-74.8,27,0.01,265,67,358.1,358.1,358.1
140.5,14326,-66.8,-75.8,27,0.01,265,74,361.5,361.5,361.5
140.0,14347,-66.9,-75.9,27,0.01,265,73,361.7,361.8,361.7
136.0,14521,-67.1,-76.1,27,0.01,265,68,364.4,364.4,364.4
126.0,14983,-65.1,-74.1,28,0.01,265,55,376.0,376.1,376.0
120.8,15240,-66.5,-75.5,27,0.01,265,47,378.1,378.1,378.1
117.0,15431,-67.5,-76.5,27,0.01,262,45,379.6,379.7,379.6
114.8,15545,-68.3,-77.1,27,0.01,260,43,380.3,380.3,380.3
105.0,16073,-71.9,-79.9,29,0.01,249,53,383.2,383.2,383.2
102.0,16244,-72.3,-80.3,29,0.01,245,56,385.6,385.6,385.6
100.0,16360,-71.3,-79.3,30,0.01,255,57,389.7,389.8,389.7
88.8,17069,-70.7,-78.7,30,0.01,280,48,404.5,404.5,404.5
85.9,17264,-70.5,-78.5,30,0.01,280,36,408.6,408.7,408.6
84.3,17374,-69.9,-78.0,30,0.01,280,29,411.9,412.0,411.9
80.2,17678,-68.4,-76.8,29,0.01,310,18,421.1,421.2,421.1
76.2,17983,-66.8,-75.6,28,0.02,285,22,430.6,430.7,430.6
74.1,18154,-65.9,-74.9,27,0.02,288,19,435.9,436.0,435.9
72.5,18288,-66.4,-75.4,27,0.02,290,17,437.7,437.8,437.7
70.0,18500,-67.1,-76.1,27,0.02,270,15,440.5,440.6,440.5
69.9,18509,-67.1,-76.1,27,0.02,268,15,440.7,440.8,440.7
68.9,18596,-64.3,-73.3,28,0.03,250,15,448.5,448.7,448.5
68.9,18593,-64.4,-73.4,28,0.03,250,15,448.2,448.4,448.3
65.6,18898,-64.4,-73.4,28,0.03,265,18,454.6,454.8,454.6
64.2,19027,-64.5,-73.5,28,0.03,254,11,457.2,457.4,457.2
63.1,19132,-62.7,-72.7,25,0.03,246,5,463.4,463.7,463.4
62.4,19202,-63.0,-73.0,25,0.03,240,1,464.2,464.4,464.2
61.0,19340,-63.7,-73.7,24,0.03,222,2,465.7,465.9,465.7
60.1,19431,-62.3,-72.3,25,0.04,210,3,470.8,471.1,470.8
57.5,19702,-64.1,-74.1,24,0.03,174,5,472.8,472.9,472.8
55.5,19919,-62.5,-72.5,25,0.04,145,6,481.2,481.5,481.2
50.0,20560,-63.1,-73.1,25,0.04,60,11,494.4,494.6,494.4
49.0,20684,-63.7,-73.7,24,0.04,73,11,495.8,496.1,495.8
47.0,20941,-61.3,-71.3,25,0.05,99,11,507.5,507.9,507.5
44.2,21321,-63.5,-73.5,25,0.04,138,11,511.1,511.4,511.1
44.1,21336,-63.5,-73.5,25,0.04,140,11,511.6,511.9,511.6
32.6,23216,-57.9,-68.9,23,0.11,89,9,572.5,573.3,572.5
30.0,23740,-58.3,-69.3,23,0.11,75,9,585.1,586.0,585.2
27.1,24384,-57.2,-68.8,22,0.13,45,11,605.4,606.6,605.5
25.8,24689,-56.7,-68.5,21,0.15,60,16,615.3,616.5,615.4
24.9,24919,-56.3,-68.3,21,0.16,51,15,622.9,624.2,622.9
20.7,26106,-51.7,-65.7,17,0.27,4,8,670.5,673.0,670.6
20.0,26330,-51.3,-65.3,17,0.29,355,7,678.4,681.1,678.5
18.6,26822,-50.6,-65.1,16,0.33,275,11,695.2,698.2,695.3
17.7,27127,-50.2,-64.9,16,0.35,25,12,705.8,709.1,705.9
16.9,27432,-49.8,-64.8,16,0.37,50,11,716.6,720.2,716.7
16.1,27737,-49.4,-64.7,15,0.40,160,1,727.5,731.4,727.7
14.7,28346,-48.6,-64.4,14,0.45,270,16,749.8,754.4,750.0
14.2,28571,-48.3,-64.3,14,0.47,259,15,758.2,763.1,758.5
14.0,28651,-47.2,-63.2,14,0.55,255,14,764.6,770.3,764.8
13.8,28760,-45.7,-61.7,15,0.69,260,15,773.3,780.4,773.6
12.8,29261,-45.8,-62.3,14,0.68,285,22,789.7,796.9,790.1
11.9,29747,-45.9,-62.9,13,0.68,277,28,806.0,813.4,806.4
11.7,29870,-45.3,-62.3,13,0.75,275,30,812.3,820.5,812.7
10.7,30480,-42.4,-59.4,14,1.19,275,28,844.2,857.5,844.9
10.0,30920,-40.3,-57.3,14,1.66,270,29,868.0,886.8,868.8
9.8,31058,-39.7,-57.7,13,1.61,271,29,875.2,893.7,876.1
8.9,31716,-40.1,-58.1,13,1.69,-9999,-9999,898.1,918.0,899.0
8.9,31699,-40.1,-58.1,13,1.69,275,29,897.5,917.4,898.4
